"order_number";"product_key";"customer_key";"order_date";"shipping_date";"due_date";"sales_amount";"quantity";"price"
"SO55344";0;14006;"2013-03-30";"2013-04-06";"2013-04-11";25;1;25
"SO55344";0;14006;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55344";124;14006;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55345";0;13945;"2013-03-30";"2013-04-06";"2013-04-11";4;1;4
"SO55345";0;13945;"2013-03-30";"2013-04-06";"2013-04-11";33;1;33
"SO55345";124;13945;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55345";0;13945;"2013-03-30";"2013-04-06";"2013-04-11";54;1;54
"SO55346";0;15689;"2013-03-30";"2013-04-06";"2013-04-11";25;1;25
"SO55346";0;15689;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55346";124;15689;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55347";0;14066;"2013-03-30";"2013-04-06";"2013-04-11";33;1;33
"SO55347";0;14066;"2013-03-30";"2013-04-06";"2013-04-11";4;1;4
"SO55347";126;14066;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55348";0;10308;"2013-03-30";"2013-04-06";"2013-04-11";10;1;10
"SO55348";0;10308;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55348";65;10308;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55349";0;8881;"2013-03-30";"2013-04-06";"2013-04-11";70;1;70
"SO55350";0;17601;"2013-03-30";"2013-04-06";"2013-04-11";70;1;70
"SO55350";130;17601;"2013-03-30";"2013-04-06";"2013-04-11";50;1;50
"SO55351";0;6694;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55351";65;6694;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55352";0;4308;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55352";125;4308;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55353";0;7638;"2013-03-30";"2013-04-06";"2013-04-11";22;1;22
"SO55353";0;7638;"2013-03-30";"2013-04-06";"2013-04-11";10;1;10
"SO55353";0;7638;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55353";0;7638;"2013-03-30";"2013-04-06";"2013-04-11";55;1;55
"SO55354";0;9595;"2013-03-30";"2013-04-06";"2013-04-11";30;1;30
"SO55354";0;9595;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55354";0;9595;"2013-03-30";"2013-04-06";"2013-04-11";8;1;8
"SO55355";0;1839;"2013-03-30";"2013-04-06";"2013-04-11";22;1;22
"SO55355";0;1839;"2013-03-30";"2013-04-06";"2013-04-11";10;1;10
"SO55355";0;1839;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55356";0;8930;"2013-03-30";"2013-04-06";"2013-04-11";25;1;25
"SO55356";0;8930;"2013-03-30";"2013-04-06";"2013-04-11";4;1;4
"SO55356";126;8930;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55357";0;12977;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55358";0;12967;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55358";116;12967;"2013-03-30";"2013-04-06";"2013-04-11";24;1;24
"SO55359";0;8253;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55359";0;8253;"2013-03-30";"2013-04-06";"2013-04-11";55;1;55
"SO55359";126;8253;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55360";0;15895;"2013-03-30";"2013-04-06";"2013-04-11";21;1;21
"SO55360";0;15895;"2013-03-30";"2013-04-06";"2013-04-11";2;1;2
"SO55361";0;9950;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55361";0;9950;"2013-03-30";"2013-04-06";"2013-04-11";30;1;30
"SO55361";0;9950;"2013-03-30";"2013-04-06";"2013-04-11";120;1;120
"SO55362";0;17544;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55362";0;17544;"2013-03-30";"2013-04-06";"2013-04-11";29;1;29
"SO55362";130;17544;"2013-03-30";"2013-04-06";"2013-04-11";50;1;50
"SO55362";117;17544;"2013-03-30";"2013-04-06";"2013-04-11";24;1;24
"SO55363";0;9732;"2013-03-30";"2013-04-06";"2013-04-11";29;1;29
"SO55363";0;9732;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55363";0;9732;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55364";0;1466;"2013-03-30";"2013-04-06";"2013-04-11";4;1;4
"SO55364";0;1466;"2013-03-30";"2013-04-06";"2013-04-11";21;1;21
"SO55364";0;1466;"2013-03-30";"2013-04-06";"2013-04-11";8;1;8
"SO55365";0;14639;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55365";126;14639;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55366";0;2789;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55366";0;2789;"2013-03-30";"2013-04-06";"2013-04-11";29;1;29
"SO55367";0;6643;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55367";0;6643;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55367";0;6643;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55367";65;6643;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55368";0;1897;"2013-03-30";"2013-04-06";"2013-04-11";22;1;22
"SO55368";0;1897;"2013-03-30";"2013-04-06";"2013-04-11";10;1;10
"SO55368";0;1897;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55368";0;1897;"2013-03-30";"2013-04-06";"2013-04-11";8;1;8
"SO55369";0;1434;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55369";0;1434;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55369";124;1434;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55370";0;567;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55370";0;567;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55371";0;3132;"2013-03-30";"2013-04-06";"2013-04-11";1701;1;1701
"SO55371";124;3132;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55372";0;18180;"2013-03-30";"2013-04-06";"2013-04-11";2384;1;2384
"SO55372";65;18180;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55373";0;17847;"2013-03-30";"2013-04-06";"2013-04-11";742;1;742
"SO55374";35;1342;"2013-03-30";"2013-04-06";"2013-04-11";2295;1;2295
"SO55375";0;14385;"2013-03-30";"2013-04-06";"2013-04-11";1215;1;1215
"SO55375";124;14385;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55376";0;14383;"2013-03-30";"2013-04-06";"2013-04-11";1215;1;1215
"SO55376";0;14383;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55376";0;14383;"2013-03-30";"2013-04-06";"2013-04-11";29;1;29
"SO55376";126;14383;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55377";0;11886;"2013-03-30";"2013-04-06";"2013-04-11";540;1;540
"SO55377";0;11886;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55378";56;9063;"2013-03-30";"2013-04-06";"2013-04-11";1120;1;1120
"SO55378";125;9063;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55378";132;9063;"2013-03-30";"2013-04-06";"2013-04-11";50;1;50
"SO55378";65;9063;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55379";0;485;"2013-03-30";"2013-04-06";"2013-04-11";540;1;540
"SO55379";0;485;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55380";0;15223;"2013-03-30";"2013-04-06";"2013-04-11";540;1;540
"SO55380";0;15223;"2013-03-30";"2013-04-06";"2013-04-11";21;1;21
"SO55381";0;10091;"2013-03-30";"2013-04-06";"2013-04-11";540;1;540
"SO55381";0;10091;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55382";0;4627;"2013-03-30";"2013-04-06";"2013-04-11";2384;1;2384
"SO55382";0;4627;"2013-03-30";"2013-04-06";"2013-04-11";9;1;9
"SO55382";0;4627;"2013-03-30";"2013-04-06";"2013-04-11";5;1;5
"SO55382";115;4627;"2013-03-30";"2013-04-06";"2013-04-11";24;1;24
"SO55383";0;4358;"2013-03-30";"2013-04-06";"2013-04-11";2384;1;2384
"SO55383";124;4358;"2013-03-30";"2013-04-06";"2013-04-11";35;1;35
"SO55384";39;1638;"2013-03-31";"2013-04-07";"2013-04-12";2320;1;2320
"SO55384";0;1638;"2013-03-31";"2013-04-07";"2013-04-12";22;1;22
"SO55384";126;1638;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55385";0;332;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55385";0;332;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55385";0;332;"2013-03-31";"2013-04-07";"2013-04-12";54;1;54
"SO55386";0;1346;"2013-03-31";"2013-04-07";"2013-04-12";25;1;25
"SO55386";0;1346;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55386";0;1346;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55386";0;1346;"2013-03-31";"2013-04-07";"2013-04-12";8;1;8
"SO55387";0;4604;"2013-03-31";"2013-04-07";"2013-04-12";25;1;25
"SO55388";0;5680;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55388";0;5680;"2013-03-31";"2013-04-07";"2013-04-12";30;1;30
"SO55389";0;4808;"2013-03-31";"2013-04-07";"2013-04-12";25;1;25
"SO55390";0;11209;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55390";0;11209;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55390";0;11209;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55391";0;11845;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55391";0;11845;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55392";0;6064;"2013-03-31";"2013-04-07";"2013-04-12";54;1;54
"SO55392";65;6064;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55393";124;4187;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55393";115;4187;"2013-03-31";"2013-04-07";"2013-04-12";24;1;24
"SO55394";117;761;"2013-03-31";"2013-04-07";"2013-04-12";24;1;24
"SO55395";0;6743;"2013-03-31";"2013-04-07";"2013-04-12";1701;1;1701
"SO55395";0;6743;"2013-03-31";"2013-04-07";"2013-04-12";54;1;54
"SO55396";0;4701;"2013-03-31";"2013-04-07";"2013-04-12";1701;1;1701
"SO55396";125;4701;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55397";34;1315;"2013-03-31";"2013-04-07";"2013-04-12";2295;1;2295
"SO55397";0;1315;"2013-03-31";"2013-04-07";"2013-04-12";22;1;22
"SO55397";126;1315;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55398";0;6744;"2013-03-31";"2013-04-07";"2013-04-12";540;1;540
"SO55398";0;6744;"2013-03-31";"2013-04-07";"2013-04-12";22;1;22
"SO55398";132;6744;"2013-03-31";"2013-04-07";"2013-04-12";50;1;50
"SO55399";0;4653;"2013-03-31";"2013-04-07";"2013-04-12";769;1;769
"SO55399";0;4653;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55399";0;4653;"2013-03-31";"2013-04-07";"2013-04-12";30;1;30
"SO55400";0;256;"2013-03-31";"2013-04-07";"2013-04-12";4;1;4
"SO55400";126;256;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55401";133;632;"2013-03-31";"2013-04-07";"2013-04-12";50;1;50
"SO55402";0;15793;"2013-03-31";"2013-04-07";"2013-04-12";4;1;4
"SO55402";0;15793;"2013-03-31";"2013-04-07";"2013-04-12";21;1;21
"SO55402";0;15793;"2013-03-31";"2013-04-07";"2013-04-12";159;1;159
"SO55403";0;15055;"2013-03-31";"2013-04-07";"2013-04-12";25;1;25
"SO55404";0;13934;"2013-03-31";"2013-04-07";"2013-04-12";33;1;33
"SO55405";0;3354;"2013-03-31";"2013-04-07";"2013-04-12";33;1;33
"SO55405";0;3354;"2013-03-31";"2013-04-07";"2013-04-12";4;1;4
"SO55405";0;3354;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55406";0;13396;"2013-03-31";"2013-04-07";"2013-04-12";33;1;33
"SO55406";0;13396;"2013-03-31";"2013-04-07";"2013-04-12";4;1;4
"SO55407";0;15103;"2013-03-31";"2013-04-07";"2013-04-12";25;1;25
"SO55407";0;15103;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55407";0;15103;"2013-03-31";"2013-04-07";"2013-04-12";120;1;120
"SO55408";0;12679;"2013-03-31";"2013-04-07";"2013-04-12";30;1;30
"SO55409";0;12863;"2013-03-31";"2013-04-07";"2013-04-12";30;1;30
"SO55409";0;12863;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55409";125;12863;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55410";0;11036;"2013-03-31";"2013-04-07";"2013-04-12";30;1;30
"SO55410";0;11036;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55410";126;11036;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55411";0;11035;"2013-03-31";"2013-04-07";"2013-04-12";10;1;10
"SO55411";0;11035;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55412";0;10776;"2013-03-31";"2013-04-07";"2013-04-12";10;1;10
"SO55412";0;10776;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55412";0;10776;"2013-03-31";"2013-04-07";"2013-04-12";55;1;55
"SO55413";0;5332;"2013-03-31";"2013-04-07";"2013-04-12";10;1;10
"SO55413";0;5332;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55413";126;5332;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55414";0;5993;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55415";0;5215;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55415";0;5215;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55415";0;5215;"2013-03-31";"2013-04-07";"2013-04-12";8;1;8
"SO55416";0;3470;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55416";125;3470;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55416";116;3470;"2013-03-31";"2013-04-07";"2013-04-12";24;1;24
"SO55417";0;2374;"2013-03-31";"2013-04-07";"2013-04-12";22;1;22
"SO55417";0;2374;"2013-03-31";"2013-04-07";"2013-04-12";10;1;10
"SO55417";0;2374;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55417";124;2374;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55418";0;6111;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55418";0;6111;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55419";0;8346;"2013-03-31";"2013-04-07";"2013-04-12";30;1;30
"SO55419";0;8346;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55419";124;8346;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55420";0;3975;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55420";0;3975;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55421";0;8370;"2013-03-31";"2013-04-07";"2013-04-12";25;1;25
"SO55421";0;8370;"2013-03-31";"2013-04-07";"2013-04-12";4;1;4
"SO55421";124;8370;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55422";0;9872;"2013-03-31";"2013-04-07";"2013-04-12";30;1;30
"SO55422";0;9872;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55422";65;9872;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55422";126;9872;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55423";0;12229;"2013-03-31";"2013-04-07";"2013-04-12";4;1;4
"SO55423";130;12229;"2013-03-31";"2013-04-07";"2013-04-12";50;1;50
"SO55423";65;12229;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55424";0;16153;"2013-03-31";"2013-04-07";"2013-04-12";4;1;4
"SO55424";125;16153;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55425";0;13155;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55425";117;13155;"2013-03-31";"2013-04-07";"2013-04-12";24;1;24
"SO55426";0;16958;"2013-03-31";"2013-04-07";"2013-04-12";4;1;4
"SO55426";0;16958;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55427";0;12774;"2013-03-31";"2013-04-07";"2013-04-12";29;1;29
"SO55427";0;12774;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55427";0;12774;"2013-03-31";"2013-04-07";"2013-04-12";55;1;55
"SO55428";0;521;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55428";0;521;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55428";126;521;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55429";0;699;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55430";0;227;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55431";0;3329;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55431";0;3329;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55431";0;3329;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55432";0;772;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55433";0;406;"2013-03-31";"2013-04-07";"2013-04-12";54;1;54
"SO55434";0;349;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55434";0;349;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55434";0;349;"2013-03-31";"2013-04-07";"2013-04-12";54;1;54
"SO55435";0;1662;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55435";0;1662;"2013-03-31";"2013-04-07";"2013-04-12";10;1;10
"SO55435";124;1662;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55436";130;1263;"2013-03-31";"2013-04-07";"2013-04-12";50;1;50
"SO55436";65;1263;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55437";64;9341;"2013-03-31";"2013-04-07";"2013-04-12";2443;1;2443
"SO55438";0;5977;"2013-03-31";"2013-04-07";"2013-04-12";1701;1;1701
"SO55438";124;5977;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55438";133;5977;"2013-03-31";"2013-04-07";"2013-04-12";50;1;50
"SO55439";0;3018;"2013-03-31";"2013-04-07";"2013-04-12";769;1;769
"SO55439";0;3018;"2013-03-31";"2013-04-07";"2013-04-12";70;1;70
"SO55439";65;3018;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55440";39;1081;"2013-03-31";"2013-04-07";"2013-04-12";2320;1;2320
"SO55440";0;1081;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55441";34;629;"2013-03-31";"2013-04-07";"2013-04-12";2295;1;2295
"SO55441";0;629;"2013-03-31";"2013-04-07";"2013-04-12";2;1;2
"SO55442";39;1365;"2013-03-31";"2013-04-07";"2013-04-12";2320;1;2320
"SO55443";0;3847;"2013-03-31";"2013-04-07";"2013-04-12";742;1;742
"SO55443";126;3847;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55444";0;16339;"2013-03-31";"2013-04-07";"2013-04-12";540;1;540
"SO55444";0;16339;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55444";0;16339;"2013-03-31";"2013-04-07";"2013-04-12";8;1;8
"SO55445";57;8094;"2013-03-31";"2013-04-07";"2013-04-12";2443;1;2443
"SO55445";0;8094;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55445";0;8094;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55446";35;1350;"2013-03-31";"2013-04-07";"2013-04-12";2295;1;2295
"SO55446";126;1350;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55447";38;1356;"2013-03-31";"2013-04-07";"2013-04-12";2320;1;2320
"SO55447";0;1356;"2013-03-31";"2013-04-07";"2013-04-12";22;1;22
"SO55447";0;1356;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55448";34;1669;"2013-03-31";"2013-04-07";"2013-04-12";2295;1;2295
"SO55448";126;1669;"2013-03-31";"2013-04-07";"2013-04-12";35;1;35
"SO55449";37;1004;"2013-03-31";"2013-04-07";"2013-04-12";2320;1;2320
"SO55449";0;1004;"2013-03-31";"2013-04-07";"2013-04-12";55;1;55
"SO55449";115;1004;"2013-03-31";"2013-04-07";"2013-04-12";24;1;24
"SO55450";0;11073;"2013-03-31";"2013-04-07";"2013-04-12";540;1;540
"SO55450";0;11073;"2013-03-31";"2013-04-07";"2013-04-12";9;1;9
"SO55450";0;11073;"2013-03-31";"2013-04-07";"2013-04-12";5;1;5
"SO55450";0;11073;"2013-03-31";"2013-04-07";"2013-04-12";64;1;64
"SO55451";56;13906;"2013-04-01";"2013-04-08";"2013-04-13";1120;1;1120
"SO55451";0;13906;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55451";132;13906;"2013-04-01";"2013-04-08";"2013-04-13";50;1;50
"SO55452";55;5522;"2013-04-01";"2013-04-08";"2013-04-13";1120;1;1120
"SO55453";34;1386;"2013-04-01";"2013-04-08";"2013-04-13";2295;1;2295
"SO55453";0;1386;"2013-04-01";"2013-04-08";"2013-04-13";10;1;10
"SO55454";37;1214;"2013-04-01";"2013-04-08";"2013-04-13";2320;1;2320
"SO55454";0;1214;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55454";0;1214;"2013-04-01";"2013-04-08";"2013-04-13";10;1;10
"SO55454";125;1214;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55455";0;1366;"2013-04-01";"2013-04-08";"2013-04-13";9;1;9
"SO55455";0;1366;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55456";0;2629;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55456";0;2629;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55456";0;2629;"2013-04-01";"2013-04-08";"2013-04-13";2;1;2
"SO55457";0;7286;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55457";0;7286;"2013-04-01";"2013-04-08";"2013-04-13";30;1;30
"SO55457";125;7286;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55458";0;13472;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55459";0;16351;"2013-04-01";"2013-04-08";"2013-04-13";70;1;70
"SO55460";0;8630;"2013-04-01";"2013-04-08";"2013-04-13";4;1;4
"SO55460";0;8630;"2013-04-01";"2013-04-08";"2013-04-13";21;1;21
"SO55460";126;8630;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55461";65;6319;"2013-04-01";"2013-04-08";"2013-04-13";9;1;9
"SO55462";0;506;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55462";124;506;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55462";130;506;"2013-04-01";"2013-04-08";"2013-04-13";50;1;50
"SO55462";117;506;"2013-04-01";"2013-04-08";"2013-04-13";24;1;24
"SO55463";0;212;"2013-04-01";"2013-04-08";"2013-04-13";4;1;4
"SO55463";0;212;"2013-04-01";"2013-04-08";"2013-04-13";54;1;54
"SO55463";65;212;"2013-04-01";"2013-04-08";"2013-04-13";9;1;9
"SO55464";0;18053;"2013-04-01";"2013-04-08";"2013-04-13";4;1;4
"SO55464";125;18053;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55465";0;18233;"2013-04-01";"2013-04-08";"2013-04-13";4;1;4
"SO55465";0;18233;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55465";116;18233;"2013-04-01";"2013-04-08";"2013-04-13";24;1;24
"SO55465";0;18233;"2013-04-01";"2013-04-08";"2013-04-13";120;1;120
"SO55466";0;17091;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55466";125;17091;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55467";0;17003;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55467";124;17003;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55468";0;14207;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55469";0;15260;"2013-04-01";"2013-04-08";"2013-04-13";29;1;29
"SO55469";0;15260;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55469";125;15260;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55470";0;12199;"2013-04-01";"2013-04-08";"2013-04-13";30;1;30
"SO55470";0;12199;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55471";0;10803;"2013-04-01";"2013-04-08";"2013-04-13";10;1;10
"SO55471";0;10803;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55471";0;10803;"2013-04-01";"2013-04-08";"2013-04-13";54;1;54
"SO55471";65;10803;"2013-04-01";"2013-04-08";"2013-04-13";9;1;9
"SO55472";0;9706;"2013-04-01";"2013-04-08";"2013-04-13";10;1;10
"SO55472";124;9706;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55472";116;9706;"2013-04-01";"2013-04-08";"2013-04-13";24;1;24
"SO55473";0;7810;"2013-04-01";"2013-04-08";"2013-04-13";70;1;70
"SO55473";133;7810;"2013-04-01";"2013-04-08";"2013-04-13";50;1;50
"SO55474";0;3503;"2013-04-01";"2013-04-08";"2013-04-13";70;1;70
"SO55475";0;3655;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55475";0;3655;"2013-04-01";"2013-04-08";"2013-04-13";2;1;2
"SO55476";0;11060;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55476";0;11060;"2013-04-01";"2013-04-08";"2013-04-13";2;1;2
"SO55477";0;3850;"2013-04-01";"2013-04-08";"2013-04-13";22;1;22
"SO55477";126;3850;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55478";0;4619;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55479";0;6971;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55479";0;6971;"2013-04-01";"2013-04-08";"2013-04-13";2;1;2
"SO55480";0;7043;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55480";0;7043;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55481";0;7025;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55481";0;7025;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55481";0;7025;"2013-04-01";"2013-04-08";"2013-04-13";120;1;120
"SO55482";0;6747;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55482";0;6747;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55483";0;6789;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55483";0;6789;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
"SO55483";124;6789;"2013-04-01";"2013-04-08";"2013-04-13";35;1;35
"SO55484";0;6841;"2013-04-01";"2013-04-08";"2013-04-13";25;1;25
"SO55484";0;6841;"2013-04-01";"2013-04-08";"2013-04-13";5;1;5
